Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
18081,8.33,1.5,2.8,12.7,20.8,0.22,7.4,2.9,53.2,18,0.2
13370,4.16,1.47,0.7,22.7,15.6,0.99,6,2.5,52.4,74,0.1
2949,7.99,1.44,0.5,8.1,9.2,1.3,8.3,3.4,68.1,56,0.4
14064,0.08,1.36,28,3.2,1.2,0.07,65.6,0.4,1.6,178,0
17382,17.1,1.38,1.6,4.1,50.3,1.49,8,7,29,0,0
14297,46,1.43,0.4,4.3,44.1,0.66,2.5,3.7,45,8,0
2422,9.41,1.62,4.4,34.2,6,0.39,2.5,0.4,52.5,79,0
5801,23.36,1.71,4.7,8.1,27.4,0.82,4.6,4.5,50.6,109,0.1
2159,3.51,1.65,9,7.2,22.6,0.19,4,2.2,54.6,84,0.4
3914,44,1.29,2.4,3.7,3.9,1.27,2.9,0,87.1,0,0
17547,6.9,1.43,6.2,11.9,24.2,1.66,5.3,7.3,44.7,48,0.4
15182,42.1,1.59,23.3,7,24.2,0.13,8.1,12.8,22.8,76,1.8
18220,37.5,1.53,0.9,17.7,10.9,1.3,0.1,1.4,69,170,0
4197,74.3,1.55,0,4.4,56.7,0.08,1.5,4.9,32.5,41,0
2120,23.7,1.46,5,6.6,8.5,0.19,2.4,1,76.5,68,0
4089,10.11,1.38,7,5.5,3.3,0.93,1.5,0.2,82.5,58,0
7631,23,1.42,5.4,13.1,11.1,0.55,3.5,0.9,66,10,0
6591,0.58,1.7,19.5,6.8,14,0.43,4.8,2.2,52.6,69,0.1
8134,2.89,1.55,18.6,9.7,19.2,0.22,5.9,8.3,37.4,86,0.9
13726,23.7,1.34,1.1,25.3,5.6,1.33,1.3,0.3,66.4,0,0
17936,30.2,1.49,0.9,3.9,4.2,1.28,2.3,0.1,88.6,0,0
126,23,1.57,3.4,11,14,0.43,2.3,0.6,68.7,20,0
6380,8.55,1.56,4.7,11.1,15.1,0.51,4.2,1.1,63.7,20,0.1
14928,11.8,1.64,1.2,6.6,30.1,0.08,1.4,6.6,54,64,0.1
2541,0.18,1.72,37.4,8.6,14,0.07,4.8,4,30.8,145,0.4
16340,1.22,1.72,14.4,6.6,14.4,0.35,6.6,3.4,54.4,58,0.2
9040,34.2,1.19,1.3,4.4,10.3,1.21,3.3,0.9,79.8,0,0
18293,0.02,1.61,15.2,8.2,1.4,0.08,0.8,0,74.4,117,0
8507,13.7,1.51,4,4.8,28.2,0.03,1.6,2,59.2,114,0.2
